name,quote
Johann von Neumann,"The sciences do not try to explain, they hardly even try to interpret, they mainly make models. By a model is meant a mathematical construct which, with the addition of certain verbal interpretations, describes observed phenomena. The justification of such a mathematical construct is solely and precisely that it is expected to work."
Johann von Neumann,You wake me up early in the morning to tell me I am right? Please wait until I am wrong.
Voltaire,"...the safest course is to do nothing against one's conscience. With this secret, we can enjoy life and have no fear from death."
Voltaire,A witty saying proves nothing.
Voltaire,"All sects are different, because they come from men; morality is everywhere the same, because it comes from God."
Voltaire,"Animals have these advantages over man: they never hear the clock strike, they die without any idea of death, they have no theologians to instruct them, their last moments are not disturbed by unwelcome and unpleasant ceremonies, their funerals cost them nothing, and no one starts lawsuits over their wills."
Voltaire,Anything too stupid to be said is sung.
Voltaire,Appreciation is a wonderful thing: It makes what is excellent in others belong to us as well.
Voltaire,"Doubt is not a pleasant condition, but certainty is absurd."
Voltaire,Each player must accept the cards life deals him. 
Voltaire," But once they are in hand, he alone must decide "
Voltaire, how to play the cards in order to win the game.
Voltaire,Every man is guilty of all the good he didn't do.
Voltaire,God is a comedian playing to an audience too afraid to laugh.
Voltaire,God is always on the side of the big battalions.
Voltaire,History is a pack of lies we play on the dead.
Voltaire,"I have never made but one prayer to God, a very short one: 'O Lord, make my enemies ridiculous.' And God granted it."
Voltaire,"If God did not exist, it would be necessary to invent him."
Voltaire,"Indeed, history is nothing more than a tableau of crimes and misfortunes."
Voltaire,"Indolence is sweet, and its consequences bitter."
Voltaire,It is dangerous to be right when the government is wrong.
Voltaire,It is forbidden to kill; therefore all murderers are punished unless they kill in large numbers and to the sound of trumpets.
Voltaire,Judge of a man by his questions rather than by his answers.
Voltaire,Love is a canvas furnished by Nature and embroidered by imagination.
Craig Volk,I'd rather get my brains blown out in the wild than wait in terror at the slaughterhouse.
Craig Volk,The killing was the best part. It was the dying I couldn't take.
W. J. Vogel,"To shorten winter, borrow some money due in spring."
David Viscott,To love and be loved is to feel the sun from both sides.
Stephen Vizinczey,"Like all wage slaves, he had two crosses to bear: the people he worked for and the people he worked with."
Stephen Vizinczey,"Strange as it seems, no amount of learning can cure stupidity, and higher education positively fortifies it."
Jeffrey Vlaming,"Dateline: Mesopotamia, 3500 B.C. That's when the multi-faceted sounds we call music got its humble beginnings. It seems clappers were sent out the the fields to scare evil spirits away. These clappers started getting into the beat of their duty and, bingo, you got drums. From there, horns, strings, reeds, the whole orchestral gestalt. So, born in staving off death, music continues to nourish us in a variety of forms as different as the colors of the spectrum."
Virgil,As a twig is bent the tree inclines.
Virgil,In quarrels such as these not ours to intervene.
Virgil,Look with favour upon a bold beginning.
Virgil,"O tyrant love, to what do you not drive the hearts of men."
Virgil,Practice and thought might gradually forge many an art.
Virgil,They can conquer who believe they can.
Virgil,They can do all because they think they can.
Virgil,Your descendants shall gather your fruits.
Virgil,Believe one who has proved it. Believe an expert.
Virgil,"Death's brother, Sleep."
Virgil,Each of us bears his own Hell.
Virgil,Fortune favors the brave.
Virgil,I have known sorrow and learned to aid the wretched.
Virgil,"It is easy to go down into Hell; night and day, the gates of dark Death stand wide; but to climb back again, to retrace one's steps to the upper air - there's the rub, the task."
Virgil,"Romans, never forget that government is your medium! Be this your art:-to practice men in habit of peace, generosity to the conquered, and firmness against aggressors."
Virgil,"Whatever it is, I fear Greeks even when they bring gifts."
Virgil,"Yield not to evils, but attack all the more boldly."
Virgil,A snake lurks in the grass.
Virgil,Let us go singing as far as we go: the road will be less tedious.
Virgil,Love conquers all things; let us too surrender to Love.
Joan D. Vinge,"In the land of the blind, the one-eyed man is stoned to death."
Ali Vincent,"Behind weight gain are the larger hurts and questions that have to be explored, probed, and understood before weight loss and maintenance is a possibility. It's a bigger issue than just calories in, calories out."
Ali Vincent,"Big, sweeping life changes really boil down to small, everyday decisions."
Ali Vincent,Chicken exits are self-sabotage. They give you a false explanation for why you don't have something you want.
Ali Vincent,Getting enough sleep can be just as important as working out.
Ali Vincent,"In order to truly give to others, you have to give to yourself first."
Ali Vincent,It gets a lot easier to deal with life's curveballs when you're not hiding under layers of fat.
Ali Vincent,Making excuses is not going to get me any closer to my goals.
Ali Vincent,Resistance is never the agent of change. You have to embrace the actions that are going to get you closer to your goal.
Ali Vincent,Stop seeing the obstacles you face as reasons why you can't do something. See them as a reason why you can. And celebrate your accomplishments on a daily basis.
Ali Vincent,"The only battle to win is the battle within, that place where we realize that we deserve to have and create all that we want in our lives."
Ali Vincent,There's something fundamental you have to understand about yourself before you can change your life for good.
Ali Vincent,"To think about your life is to create it. You have to take ownership of where you are right now and know where you want to go before you can get there. Keep collecting evidence for your success. You can believe it, and you can be it."
Ali Vincent,"When I was overweight and unhappy, I thought about being smaller, I thought about fitting into different clothes and feeling comfortable in any environment or social situation. But I didn't do anything about it. I was letting myself fall victim to not planning, not clarifying steps to reach my goals. Don't go on just wanting something. Start consciously planning where you want to be."
Ali Vincent,"When weight loss becomes a goal in your life, eating right and exercising are just two pieces of the puzzle. Figuring out why you've put on the extra weight is the hardest part."
Ali Vincent,"When you have the courage to tell the truth about what you're really afraid of, fear doesn't have control over your life."
Ali Vincent,You have to track every single thing you eat if you want to keep posting big numbers on the scale each week.
Ali Vincent,"You just have to start putting one foot in front of the other, making an effort to get healthy every day."
Francois Villon,I know all except myself.
Pancho Villa,Don't let it end like this. Tell them I said something.
Gore Vidal,"Any American who is prepared to run for president should automatically, by definition, be disqualified from ever doing so."
Gore Vidal,Half of the American people have never read a newspaper. Half never voted for President. One hopes it is the same half.
Gore Vidal,I'm a born-again atheist.
Gore Vidal,It is not enough to succeed. Others must fail.
Gore Vidal,"Never have children, only grandchildren."
Gore Vidal,"Style is knowing who you are, what you want to say and not giving a damn."
Gore Vidal,There is no human problem which could not be solved if people would simply do as I advise.
Gore Vidal,"Today's public figures can no longer write their own speeches or books, and there is some evidence that they can't read them either."
Marie De Vichy-Chaconne,It is only the first step that is difficult.
Louis Vermeil,The prime purpose of eloquence is to keep other people from talking.
Ken Venturi,1. Never tell everything at once.
Robert Veninga,"Human pain does not let go of its grip at one point in time. Rather, it works its way out of our consciousness over time. There is a season of sadness. A season of anger. A season of tranquility. A season of hope."
Jeffrey Veen,Good design can't fix broken business models.
Thorstein Veblen,Invention is the mother of necessity.
Thorstein Veblen,No one travelling on a business trip would be missed if he failed to arrive.
Thorstein Veblen,The outcome of any serious research can only be to make two questions grow where only one grew before.
Thorstein Veblen,Conspicuous consumption of valuable goods is a means of reputability to the gentleman of leisure.
Marquis de Vauvenargues ,Every thought is new when an author expresses it in a manner peculiar to himself.
Marquis de Vauvenargues ,It is not true that equality is a law of nature. Nature has no equality. Its sovereign law is subordination and dependence.
Marquis de Vauvenargues ,The things we know best are the things we haven't been taught.
Marquis de Vauvenargues ,To achieve great things we must live as though we were never going to die.
Marquis de Vauvenargues ,"When a thought is too weak to be expressed simply, it should be rejected."
Harry Vaughan,"If you can't stand the heat, get out of the kitchen."
Marcus Terentius Varro,"The number of guests at dinner should not be less than the number of the Graces nor exceed that of the Muses, i.e., it should begin with three and stop at nine."
Marcus Terentius Varro,The longest part of the journey is said to be the passing of the gate.
