name,quote
Peter McWilliams,"Mistakes, obviously, show us what needs improving. Without mistakes, how would we know what we had to work on?"
Peter McWilliams,"Pain (any pain--emotional, physical, mental) has a message. The information it has about our life can be remarkably specific, but it usually falls into one of two categories: ""We would be more alive if we did more of this,"" and, ""Life would be more lovely if we did less of that."" Once we get the pain's message, and follow its advice, the pain goes away."
Peter McWilliams,Resentment is anger directed at others--at what they did or did not do.
Peter McWilliams,"Stubbornness is also determination. It's simply a matter of shifting from ""won't power"" to ""will power."""
Peter McWilliams,"The more severe the pain or illness, the more severe will be the necessary changes. These may involve breaking bad habits, or acquiring some new and better ones."
Peter McWilliams,The simple solution for disappointment depression: Get up and get moving. Physically move. Do. Act. Get going.
Peter McWilliams,To avoid situations in which you might make mistakes may be the biggest mistake of all.
Peter McWilliams,"To use fear as the friend it is, we must retrain and reprogram ourselves...We must persistently and convincingly tell ourselves that the fear is here--with its gift of energy and heightened awareness--so we can do our best and learn the most in the new situation."
Peter McWilliams,"If you want peace, stop fighting. If you want peace of mind, stop fighting with your thoughts."
Gene McSweeney,"We try to grab pieces of our lives as they speed past us. Photographs freeze those pieces and help us remember how we were. We don't know these lost people but if you look around, you'll find someone just like them."
Steve McQueen,I'd rather wake up in the middle of nowhere than in any city on earth.
Robert S. McNamara,"Brains, like hearts, go where they are appreciated."
Larry McMurtry,Incompetents invariably make trouble for people other than themselves.
Tom McMakin,Equal participants doing similar things will generate lots of new ideas.
Marshall McLuhan,I don't necessarily agree with everything I say.
Marshall McLuhan,There is absolutely no inevitability as long as there is a willingness to contemplate what is happening.
Marshall McLuhan,The new electronic interdependence recreates the world in the image of a global village.
Marshall McLuhan,The medium is the message.
Mignon McLaughlin,"A successful marriage requires falling in love many times, always with the same person."
Mignon McLaughlin,"I'm glad I don't have to explain to a man from Mars why each day I set fire to dozens of little pieces of paper, and then put them in my mouth."
Mignon McLaughlin,"If I knew what I was so anxious about, I wouldn't be so anxious."
Mignon McLaughlin,"If you jot down every silly thought that pops into your mind, you will soon find out everything you most seriously believe."
Mignon McLaughlin,"No one really listens to anyone else, and if you try it for a while you'll see why."
Mignon McLaughlin,"It's innocence when it charms us, ignorance when it doesn't."
Mignon McLaughlin,The only courage that matters is the kind that gets you from one moment to the next.
Dan McKinnon,Be aware that a halo has to fall only a few inches to be a noose.
Bethania McKenstry,I'm not sure I want popular opinion on my side -- I've noticed those with the most opinions often have the fewest facts.
Ian McKellen,I've often thought the Bible should have a disclaimer in the front saying this is fiction.
Russell R. McIntyre,"Sin bravely...We will never have all the facts to make a perfect judgement, but with the aid of basic experience we must leap bravely into the future."
Joan McIntosh,"Accept the pain, cherish the joys, resolve the regrets; then can come the best of benedictions - 'If I had my life to live over, I'd do it all the same.'"
Al McGuire,I think the world is run by 'C' students.
Aaron McGruder,"When I pass, speak freely of my shortcomings and my flaws. Learn from them, for I'll have no ego to injure."
Aaron McGruder,I wonder what it means when your grandson is more crotchety than you are.
Aaron McGruder,Late to bed and late to wake will keep you long on money and short on mistakes.
Phillip C. McGraw,"At the end of the day, whether or not those people are comfortable with how you're living your life doesn't matter. What matters is whether you're comfortable with it."
Phyllis Mcginley,A hobby a day keeps the doldrums away.
Sister Mary Rose McGeady,There is no greater joy nor greater reward than to make a fundamental difference in someone's life.
William McFee,"If fate means you to lose, give him a good fight anyhow."
Cyra McFadden,I no longer prepare food or drink with more than one ingredient.
Brooke McEldowney,Love can be sordid only if you work at it.
Brooke McEldowney,"I suppose no matter what I'm drawing, there will always be some sort of question in my mind about it. A work of art (even cartoon art)is never really finished; it is abandoned."
William McDonough,Don't get me wrong: I love nuclear energy! It's just that I prefer fusion to fission. And it just so happens that there's an enormous fusion reactor safely banked a few million miles from us. It delivers more than we could ever use in just about 8 minutes. And it's wireless!
George McDonald,"Work is not always required... there is such a thing as sacred idleness, the cultivation of which is now fearfully neglected."
Gavin McDonald,You can go a long way with bad legs and a good head.
David McCullough,Real success is finding your lifework in the work that you love.
John McCrae,If ye break faith with us who die 
John McCrae," We shall not sleep, though poppies grow "
John McCrae, In Flanders fields.
Robert McCloskey,"I know that you believe that you understood what you think I said, but I am not sure you realize that what you heard is not what I meant."
Michael McClary,Irrigation of the land with seawater desalinated by fusion power is ancient. It's called 'rain'.
Lord McCauley,The gallery in which the reporters sit has become the fourth estate of the realm.
Meladee McCarty,"Live your life as though there is great joy to be experienced... an abundance of goodness in each person you come in contact with, and the knowledge that you have enough inner wisdom to answer the mysteries that challenge you."
Eugene McCarthy,"Being in politics is like being a football coach. You have to be smart enough to understand the game, and dumb enough to think it's important."
Eugene McCarthy,It is dangerous for a national candidate to say things that people might remember.
Eugene McCarthy,The only thing that saves us from the bureaucracy is inefficiency. An efficient bureaucracy is the greatest threat to liberty.
Charles McCabe,McCabe's Law: Nobody _has_ to do _anything_.
Charles McCabe,"Any clod can have the facts, but having opinions is an art."
Peter McArthur,A satirist is a man who discovers unpleasant things about himself and then says them about other people.
Peter McArthur,Some people have so much respect for their superiors they have none left for themselves.
William G. McAdoo,It is impossible to defeat an ignorant man in argument.
Giuseppe Mazzini,The family is the country of the heart.
John Mayer,Why not be happy after a while? You get to a certain age where you prepare yourself for happiness. Sometimes you never remember to get happy.
Joyce Maynard,"A good home must be made, not bought."
Elsa Maxwell,"Laugh at yourself first, before anyone else can."
Quintus Fabius Maximus,"To be turned from one's course by men's opinions, by blame, and by misrepresentation shows a man unfit to hold an office."
Andre Maurois,A successful marriage is an edifice that must be rebuilt every day.
Andre Maurois,"Above all things, never be afraid. The enemy who forces you to retreat is himself afraid of you at that very moment."
Andre Maurois,If men could regard the events of their lives with more open minds they would frequently discover that they did not really desire the thing they failed to obtain.
Andre Maurois,"In literature as in love, we are astonished at what is chosen by others."
Andre Maurois,Growing old is no more than a bad habit which a busy man has no time to form.
George Du Maurier,"Sick I am of idle words, past all reconciling,"
George Du Maurier," Words that weary and perplex and pander and conceal,"
George Du Maurier," Wake the sounds that cannot lie, for all their sweet beguiling;"
George Du Maurier," The language one need fathom not, but only hear and feel."
William H. Mauldin,I feel like a fugitive from the law of averages.
W. Somerset Maugham,"At a dinner party one should eat wisely but not too well, and talk well but not too wisely."
W. Somerset Maugham,"Dying is a very dull, dreary affair. And my advice to you is to have nothing whatever to do with it."
W. Somerset Maugham,Excess on occasion is exhilarating. It prevents moderation from acquiring the deadening effect of a habit.
W. Somerset Maugham,"It is a funny thing about life; if you refuse to accept anything but the best, you very often get it."
W. Somerset Maugham,It was such a lovely day I thought it a pity to get up.
W. Somerset Maugham,"It's a funny thing about life; if you refuse to accept anything but the best, you very often get it."
W. Somerset Maugham,"She had a pretty gift for quotation, which is a serviceable substitute for wit."
W. Somerset Maugham,"The common idea that success spoils people by making them vain, egotistic, and self-complacent is erroneous; on the contrary, it makes them, for the most part, humble, tolerant, and kind. Failure makes people cruel and bitter."
W. Somerset Maugham,"There are three rules for writing the novel. Unfortunately, no one knows what they are."
W. Somerset Maugham,Tradition is a guide and not a jailer.
W. Somerset Maugham,We do not write because we want to; we write because we have to.
W. Somerset Maugham,"When you have loved as she has loved, you grow old beautifully."
W. Somerset Maugham,Like all weak men he laid an exaggerated stress on not changing one's mind.
W. Somerset Maugham,"People ask for criticism, but they only want praise."
W. Somerset Maugham,"Art is merely the refuge which the ingenious have invented, when they were supplied with food and women, to escape the tediousness of life."
W. Somerset Maugham,"D'you call life a bad job? Never! We've had our ups and downs, we've had our struggles, we've always been poor, but it's been worth it, ay, worth it a hundred times I say when I look round at my children."
W. Somerset Maugham,Follow your inclinations with due regard to the policeman round the corner.
W. Somerset Maugham,He had heard people speak contemptuously of money: he wondered if they had ever tried to do without it.
W. Somerset Maugham,I daresay one profits more by the mistakes one makes off one's own bat than by doing the right thing on somebody's else advice.
W. Somerset Maugham,I do not confer praise or blame: I accept. I am the measure of all things. I am the centre of the world.
Thomas K. Mattingly II,It's very hard to take yourself too seriously when you look at the world from outer space.
Dave Matthews,"Because one of the properties of music is to entertain and to, I don't mean this lightly, distract us from the things that pull us down. Music should be not only a source for political ideas but also a source of hope."
Dave Matthews,The future is no place to place your better days.
Dave Matthews,"Good music is good music, and everything else can go to hell."
Dave Matthews,"If you live life, then you become what are."
Carol Matthau,"There is no old age. There is, as there always was, just you."
Henri Matisse,"Derive happiness in oneself from a good day's work, from illuminating the fog that surrounds us."
Henri Matisse,What I dream of is an art of balance.
Andrew W. Mathis,It is bad luck to be superstitious.
H. Mathews,A man is too apt to forget that in this world he cannot have everything. A choice is all that is left him.
Tom Masson,Be yourself is the worst advice you can give to some people.
Tom Masson,Think of what would happen to us in America if there were no humorists; life would be one long Congressional Record.
Philip Massinger,"He that would govern others, first should be the master of himself."
Michael Masser and Linda Creed,Learning to love yourself is the greatest love of all.
John Mitchell Mason,"Judge thyself with the judgment of sincerity, and thou will judge others with the judgment of charity."
Jackie Mason,Eighty percent of married men cheat in America. The rest cheat in Europe.
Jackie Mason,"I have enough money to last me the rest of my life, unless I buy something."
Jackie Mason,It's no longer a question of staying healthy. It's a question of finding a sickness you like.
Abraham Maslow,"If the only tool you have is a hammer, you tend to see every problem as a nail."
John Masefield,I have seen flowers come in stony places
John Masefield, And kind things done by men with ugly faces
John Masefield," And the gold cup won by the worst horse at the races,"
John Masefield, So I trust too.
John Masefield,In this life he laughs longest who laughs last.
Karl Marx,Last words are for fools who haven't said enough.
Karl Marx,"Reason has always existed, but not always in a reasonable form."
Karl Marx,The last capitalist we hang shall be the one who sold us the rope.
Karl Marx,"Religion is the sigh of the oppressed creature, the heart of a heartless world, just as it is the spirit of a spiritless situation. It is the opium of the people. "
Karl Marx,"The philosophers have only interpreted the world, in various ways. The point, however, is to change it."
Groucho Marx,A child of five would understand this. Send someone to fetch a child of five.
Groucho Marx,Age is not a particularly interesting subject. Anyone can get old. All you have to do is live long enough.
Groucho Marx,Either this man is dead or my watch has stopped.
Groucho Marx,"From the moment I picked up your book until I laid it down, I was convulsed with laughter. Some day I intend reading it."
Groucho Marx,"Go, and never darken my towels again."
Groucho Marx,I could dance with you until the cows come home. On second   thought I'd rather dance with the cows until you come home.
Groucho Marx,"I find television very educating. Every time somebody turns on the set, I go into the other room and read a book."
Groucho Marx,"I never forget a face, but in your case I'll be glad to make an exception."
Groucho Marx,"I sent the club a wire stating, PLEASE ACCEPT MY RESIGNATION. I DON'T WANT TO BELONG TO ANY CLUB THAT WILL ACCEPT ME AS A MEMBER."
Groucho Marx,I've had a perfectly wonderful evening. But this wasn't it.
Groucho Marx,It isn't necessary to have relatives in Kansas City in order to be unhappy.
Groucho Marx,Military intelligence is a contradiction in terms.
Groucho Marx,Military justice is to justice what military music is to music.
Groucho Marx,"Money frees you from doing things you dislike. Since I dislike doing nearly everything, money is handy."
Groucho Marx,My mother loved children -- she would have given anything if I had been one.
Groucho Marx,"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read."
Groucho Marx,She got her looks from her father. He's a plastic surgeon.
Groucho Marx,"There's one way to find out if a man is honest-ask him. If he says, ""Yes,"" you know he is a crook."
Groucho Marx,"Those are my principles, and if you don't like them... well, I have others."
Groucho Marx,Time flies like an arrow. Fruit flies like a banana.
Chico Marx,Mustard's no good without roast beef.
H. E. Martz,"He who builds a better mousetrap these days runs into material shortages, patent-infringement suits, work stoppages, collusive bidding, discount discrimination--and taxes."""
Harriet Martineau,Readers are plentiful; thinkers are rare.
Harriet Martineau,"You better live your best and act your best and think your best today, for today is the sure preparation for tomorrow and all the other tomorrows that follow."
Valerie Martin,"How, given the canine teeth and close-set eyes that declare the human animal to be a predator, had we come up with the notion that oat bran is more natural to eat than chicken?"
Steve Martin,I like a woman with a head on her shoulders. I hate necks.
Judith Martin,It is far more impressive when others discover your good qualities without your help.
Judith Martin,"Let us make a special effort to stop communicating with each other, so we can have some conversation."
Judith Martin,"There are three social classes in America: upper middle class, middle class, and lower middle class."
Judith Martin,"We are born charming, fresh and spontaneous and must be civilized before we are fit to participate in society."
Joe Martin,"If it weren't for my lawyer, I'd still be in prison. It went a lot faster with two people digging."
Joe Martin,The most overlooked advantage to owning a computer is that if they foul up there's no law against wacking them around a little.
Demetri Martin,My computer beat me at chess... so I beat it at kickboxing.
Demetri Martin,"I bought a cactus. A week later it died. And I got depressed, because I thought, Damn. I am less nurturing than a desert."
Demetri Martin,I go to the gym religiously. About twice a year around the holidays.
Demetri Martin,Nearly one-half of all Americans are torsos.
Demetri Martin,"I like sports bars. Sports bars are great because they collect all of the people I don't want to hang out with, and put them in one room."
Dean Martin,"If you drink, don't drive. Don't even putt."
"Martin Luther King, jr.","We must expect finite disappointment, but we must never lose infinite hope."
"Martin Luther King, jr.","When evil men plot, good men must plan."
"Martin Luther King, jr.","The most dangerous criminal may be the man gifted with reason, but with no morals."
Marcus Valerius Martialis,"Conceal a flaw, and the world will imagine the worst."
Marcus Valerius Martialis,It is feeling and force of imagination that make us eloquent.
Marcus Valerius Martialis,The virtuous man is never a novice in worldly things.
Marcus Valerius Martialis,Why do strong arms fatigue themselves with frivolous dumbbells? To dig a vineyard is worthier exercise for men.
Marcus Valerius Martialis,A man who lives everywhere lives nowhere.
Marcus Valerius Martialis,Tomorrow's life is too late. Live today.
Marcus Valerius Martialis,Virtue extends our days: he live two lives who relives his past with pleasure.
Jose Marti,"Man has to suffer. When he has no real afflictions, he invents some."
Thurgood Marshall,The measure of a country's greatness is its ability to retain compassion in times of crisis.
Sir Colin Marshall,The customer doesn't expect everything will go right all the time; the big test is what you do when things go wrong.
Peter Marshall,"Give us clear vision that we may know where to stand and what to stand for, because unless we stand for something, we shall fall for anything."
George C. Marshall,If man does find the solution for world peace it will be the most revolutionary reversal of his record we have ever known.
George C. Marshall,"When a thing is done, it's done. Don't look back. Look forward to your next objective."
Garry Marshall,It's always helpful to learn from your mistakes because then your mistakes seem worthwhile.
Don Marquis,A hypocrite is a person who--but who isn't?
Don Marquis,Fishing is a delusion entirely surrounded by liars in old clothes.
Don Marquis,"Honesty is a good thing, but it is not profitable to its possessor unless it is kept under control."
Don Marquis,"If you make people think they're thinking, they'll love you; But if you really make them think, they'll hate you."
Don Marquis,"Pity the meek, for they shall inherit the earth."
Don Marquis,Procrastination is the art of keeping up with yesterday.
Don Marquis,The chief obstacle to the progress of the human race is the human race.
Don Marquis,"When a man tells you that he got rich through hard work, ask him: 'Whose?'"
Christopher Marlowe,"Now hast thou but one bare hour to live,"
Christopher Marlowe, And then thou must be damned perpetually.
Christopher Marlowe," Stand still, you ever-moving spheres of heaven,"
Christopher Marlowe," That time may cease, and midnight never come."
Christopher Marlowe,"I count religion but a childish toy,"
Christopher Marlowe, And hold there is no sin but ignorance.
Christopher Marlowe, Birds of the air will tell of murders past.
Christopher Marlowe, I am asham'd to hear such fooleries!
Bob Marley,"Emancipate yourselves from mental slavery,"
Bob Marley, None but ourselves can free our minds.
Bob Marley,Free speech carries with it some freedom to listen.
Bob Marley,"Get up, stand up"
Bob Marley, Stand up for your rights
Bob Marley," Get up, stand up"
Bob Marley, Don't give up the fight.
Bob Marley,"One good thing about music, when it hits you, you feel no pain."
Bob Marley,The good times of today are the sad thoughts of tomorrow.
Bob Marley,"Don't worry about a thing,"
Bob Marley, 'cause every little thing gonna be all right.
Bob Marley,"Don't gain the world and lose your soul, wisdom is better than silver or gold."
Edward Markey,The beauty of daylight-saving time is that it just makes everyone feel sunnier.
Jacques Maritain,Gratitude is the most exquisite form of courtesy.
Francis Marion,Promises that you make to yourself are often like the Japanese plum tree - they bear no fruit.
Jeff Marder,We live in an age when pizza gets to your home before the police.
Orison Swett Marden,It is just the little touches after the average man would quit that make the master's fame.
Orison Swett Marden,"Unless you are prepared yourself to profit by your chance, the opportunity will only make you ridiculous. A great occasion is valuable to you in proportion as you have educated yourself to make use of it."
Orison Swett Marden,"We lift ourselves by our thought, we climb upon our vision of ourselves. If you want to enlarge your life, you must first enlarge your thought of it and of yourself. Hold the ideal of yourself as you long to be, always, everywhere - your ideal of what you long to attain - the ideal of health, efficiency, success."
Orison Swett Marden,You cannot measure a man by his failures. You must know what use he makes of them. What did they mean to him. What did he get out of them.
Jean-Paul Marat,God has always been hard on the poor.
Mao Tse-Tung,Political power grows out of the barrel of a gun.
Mao Tse-Tung,Politics is war without bloodshed while war is politics with bloodshed.
Mao Tse-Tung,We shall support whatever the enemy opposes and oppose whatever the enemy supports.
Aldus Manutius,"Talk of nothing but business, and dispatch that business quickly."
Don Juan Manuel,He who praises you for what you lack wishes to take from you what you have.
Mickey Mantle,"If I knew I was going to live this long, I'd have taken better care of myself."
Marilyn Manson,"I view my job as being someone who is supposed to piss people off. I don't want to be just one-of-the-guys. I don't want to be just a smiling face you see on television presenting some vapid kind of easily- digestible garbage. This is rock and roll. I want to be a rock and roll star! Rock and roll is about shaking things up, making people act and react. That's what I do."
Marilyn Manson,"I'm tired of people calling me a devil worshipper. It's kind of pointless you know. Because if the Devil did exist, he'd be worshipping me, because I'm more successful than he is."
Marilyn Manson,Music critics get their records for free so their opinions usually don't matter.
Marilyn Manson,"Society has traditionally always tried to find scapegoats for its problems. Well, here I am."
Marilyn Manson,"There are people accusing me that I'm sick, that I'm a danger to morals, western civilization and basically everything under the sun. And they've got these wild stories about me, completely off the wall, completely untrue. They thought them up and it makes you wonder what goes on in their brain, but of course, they don't consider themselves sick. They think they're normal because they don't dress like I do."
Marilyn Manson,"We live in a society of victimization, where people are much more comfortable being victimized than actually standing up for themselves."
Marilyn Manson,Times have not become more violent. They have just become more televised.
Katherine Mansfield,"By health I mean the power to live a full, adult, living, breathing life in close contact with... the earth and the wonders thereof - the sea - the sun."
Katherine Mansfield,"Could we change our attitude, we should not only see life differently, but life itself would come to be different. Life would undergo a change of appearance because we ourselves had undergone a change in attitude."
Katherine Mansfield,Make it a rule of life never to regret and never to look back. Regret is an appalling waste of energy; you can't build on it; it's only for wallowing in.
Katherine Mansfield,"Risk! Risk anything! Care no more for the opinions of others, for those voices. Do the hardest thing on earth for you. Act for yourself. Face the truth."
Marya Mannes,Generosity with strings is not generosity; It is a deal.
Marya Mannes,"Nobody objects to a woman being a good writer or sculptor or geneticist if at the same time she manages to be a good wife, a good mother, good-looking, good-tempered, well-dressed, well-groomed, and unaggressive."
Marya Mannes,The sign of an intelligent people is their ability to control emotions by the application of reason.
Thomas Mann,A man's dying is more the survivors' affair than his own.
Thomas Mann,A writer is a person for whom writing is more difficult than it is for other people.
Thomas Mann,A writer is somebody for whom writing is more difficult than it is for other people.
Thomas Mann,All interest in disease and death is only another expression of interest in life.
Thomas Mann,No man remains quite what he was when he recognizes himself.
Thomas Mann,Speech is civilization itself... It is silence which isolates.
Thomas Mann,War is a cowardly escape from the problems of peace.
Stella Terrill Mann,"Desire, ask, believe, receive."
Stella Terrill Mann,"Every time we say, ""Let there be!"" in any form, something happens."
Stella Terrill Mann,"Whatever God's dream about man may be, it seems certain it cannot come true unless man cooperates."
Horace Mann,Character is what God and the angels know of us; reputation is what men and women think of us. 
Horace Mann,Do not think of knocking out another person's brains because he differs in opinion from you. It would be as rational to knock yourself on the head because you differ from yourself ten years ago.
Horace Mann,"Resolve to edge in a little reading every day, if it is but a single sentence. If you gain fifteen minutes a day, it will make itself felt at the end of the year."
Horace Mann,To pity distress is but human; to relieve it is Godlike.
Horace Mann,Be ashamed to die until you have won some victory for humanity.
Joseph L. Mankiewicz,"Funny business, a woman's career: the things you drop on the way up the ladder so you can move faster. You forget you'll need them again when you get back to being a woman. It's one career all females have in common, whether we like it or not: being a woman. Sooner or later, we've got to work at it, no matter how many other careers we've had or wanted."
John Mankiewicz,"Enough organization, enough lists and we think we can control the uncontrollable."
Manilius,Even pleasure itself is a toil.
Manilius,"When we are born we die, our end is but the pendant of our beginning."
Edouard Manet,The country only has charms for those not obliged to stay there.
Og Mandino,"Always render more and better service than is expected of you, no matter what your task may be."
Og Mandino,Always seek out the seed of triumph in every adversity.
Og Mandino,Cherish each hour of this day for it can never return.
Og Mandino,"Count your blessings. Once you realize how valuable you are and how much you have going for you, the smiles will return, the sun will break out, the music will play, and you will finally be able to move forward the life that God intended for you with grace, strength, courage, and confidence."
Og Mandino,"Do not listen to those who weep and complain, for their disease is contagious."
Og Mandino,Each failure to sell will increase your chances for success at your next attempt.
Og Mandino,Failure will never overtake me if my determination to succeed is strong enough.
Og Mandino,"I am here for a purpose and that purpose is to grow into a mountain, not to shrink to a grain of sand. Henceforth will I apply ALL my efforts to become the highest mountain of all and I will strain my potential until it cries for mercy."
Og Mandino,"I seek constantly to improve my manners and graces, for they are the sugar to which all are attracted."
Og Mandino,"I will love the light for it shows me the way, yet I will endure the darkness for it shows me the stars."
Og Mandino,"I will not allow yesterday's success to lull me into today's complacency, for this is the great foundation of failure."
Og Mandino,It is those who concentrate on but one thing at a time who advance in this world. The great man or woman is the one who never steps outside his or her specialty or foolishly dissipates his or her individuality.
Og Mandino,"Love doesn't sit there like a stone, it has to be made, like bread: remade all the time, made new."
Og Mandino,"Never again clutter your days or nights with so many menial and unimportant things that you have no time to accept a real challenge when it comes along. This applies to play as well as work. A day merely survived is no cause for celebration. You are not here to fritter away your precious hours when you have the ability to accomplish so much by making a slight change in your routine. No more busy work. No more hiding from success. Leave time, leave space, to grow. Now. Now! Not tomorrow!"
Og Mandino,"Realize that true happiness lies within you. Waste no time and effort searching for peace and contentment and joy in the world outside. Remember that there is no happiness in having or in getting, but only in giving. Reach out. Share. Smile. Hug. Happiness is a perfume you cannot pour on others without getting a few drops on yourself."
Og Mandino,Sound character provides the power with which a person may ride the emergencies of life instead of being overwhelmed by them. Failure is... the highway to success.
Og Mandino,"Take the attitude of a student, never be too big to ask questions, never know too much to learn something new."
Og Mandino,"The person who knows one thing and does it better than anyone else, even if it only be the art of raising lentils, receives the crown he merits. If he raises all his energy to that end, he is a benefactor of mankind and its rewarded as such."
Og Mandino,"The victory of success is half won when one gains the habit of setting goals and achieving them. Even the most tedious chore will become endurable as you parade through each day convinced that every task, no matter how menial or boring, brings you closer to fulfilling your dreams."
Og Mandino,To be always intending to make a new and better life but never to find time to set about it is as to put off eating and drinking and sleeping from one day to the next until you're dead.
Nelson Mandela,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others."
Nelson Mandela,"I am not a saint, unless you think of a saint as a sinner who keeps on trying."
Nelson Mandela,There is nothing like returning to a place that remains unchanged to find the ways in which you yourself have altered.
Maxwell Maltz,We find no real satisfaction or happiness in life without obstacles to conquer and goals to achieve.
Andre Malraux,"Be careful -- with quotations, you can damn anything."
Andre Malraux,The first duty of a leader is to make himself be loved without courting love. To be loved without 'playing up' to anyone - even to himself.
Andre Malraux,"The greatest mystery is not that we have been flung at random between the profusion of matter and of the stars, but that within this prison we can draw from ourselves images powerful enough to deny our nothingness."
Andre Malraux,The most important thing in life is to see to it that you are never beaten.
Sir Thomas Malory,I shall curse you with book and bell and candle.
Dudley Field Malone,I have never in my life learned anything from any man who agreed with me.
Reverend Edward A. Malloy,A college degree is not a sign that one is a finished product but an indication a person is prepared for life.
Jeff Mallett,"Do what you love, love what you do, leave the world a better place and don't pick your nose."
Jef Mallett,"An opinion should be the result of thought, not a substitute for it."
Jef Mallett,"Writing well means never having to say, 'I guess you had to be there.'"
Jef Mallett,"If time flies when you're having fun, it hits the afterburners when you don't think you're having enough."
Jef Mallett,"Mach-S, the speed at which stress can't keep up, is simply forward motion. But it has to be self- propelled. Note that people in cars are still stressed."
Stephane Mallarme,A throw of the dice will never abolish chance. 
Malaclypse the Younger,'Tis an ill wind that blows no minds.
Miriam Makeba,"Age is…wisdom, if one has lived one's life properly."
Norman Mailer,Every moment of one's existence one is growing into more or retreating into less.
Norman Mailer,One thing I've learned in all these years is not to make love when you really don't feel it; there's probably nothing worse you can do to yourself than that.
Norman Mailer,"Part of the ability to keep writing over the years comes down to living with the expectation of disappointment. It's the exact opposite of capitalism. In capitalism you want your business to succeed, and to the degree it does your energy increases, and you go out and buy an even bigger business. In writing it's almost the exact opposite. You just want to keep the store going. You're not going to do as well this year as last year probably, but nonetheless let's keep the store going. What ruins most writers of talent is that they don't get enough experience, so their novels tend to develop a certain paranoid perfection."
Norman Mailer,Sentimentality is the emotional promiscuity of those who have no sentiment.
Norman Mailer,The function of socialism is to raise suffering to a higher level.
Norman Mailer,"Once a newspaper touches a story, the facts are lost forever, even to the protagonists."
Norman Mailer,Any war that requires the suspension of reason as a necessity for support is a bad war.
Norman Mailer,"There is no greater importance in all the world like knowing you are right and that the wave of the world is wrong, yet the wave crashes upon you."
Joseph de Maistre,It is one of man's curious idiosyncrasies to create difficulties for the pleasure of resolving them.
David Mahoney,Our heroes are those... who... act above and beyond the call of duty and in so doing give definition to patriotism and elevate all of us.... America is the land of the free because we are the home of the brave.
Wendy Magruder,"In the right light, at the right time, everything is extraordinary."
Magna Carta,"To no one will we sell, to no one will we refuse or delay right or justice."
James Magary,"Computers can figure out all kinds of problems, except the things in the world that just don't add up."
Maurice Maeterlinck,"We are alone, absolutely alone on this chance planet: and, amid all the forms of life that surround us, not one, excepting the dog, has made an alliance with us."
Maurice Maeterlinck,"When we lose one we love, our bitterest tears are called forth by the memory of hours when we loved not enough."
Sidney Madwed,"The world will change for the better when people decide they are sick and tired of being sick and tired of the way the world is, and decide to change themselves."
Sidney Madwed,Words can be like baseball bats when used maliciously.
Madonna,"I'm tough, I'm ambitious, and I know exactly what I want. If that makes me a bitch, okay."
Madonna,Poor is the man whose pleasures depend on the permission of another.
Madonna,"That consciousness is everything and that all things begin with a thought. That we are responsible for our own fate, we reap what we sow, we get what we give, we pull in what we put out. I know these things for sure."
Madonna,"To be brave is to love someone unconditionally, without expecting anything in return. To just give. That takes courage, because we don't want to fall on our faces or leave ourselves open to hurt."
James Madison,I believe there are more instances of the abridgement of the freedom of the people by gradual and silent encroachments of those in power than by violent and sudden usurpations.
James Madison,"If men were angels, no government would be necessary."
James Madison,"The essence of government is power; and power, lodged as it must be in human hands, will ever be liable to abuse."
James Madison,"Since the general civilization of mankind, I believe there are more instances of the abridgment of the freedom of the people, by gradual and silent encroachments of those in power, than by violent and sudden usurpations."
James Madison,"If men were angels, no government would be necessary. If angels were to govern men, neither external nor internal controls on government would be necessary. In framing a government which is to be administered by men over men, the great difficulty lies in this: you must first enable the government to control the governed; and in the next place oblige it to control itself."
Sri Madhava,"Freedom, then, lies only in our innate human capacity to choose between different sorts of bondage, bondage to desire or self esteem, or bondage to the light that lightens all our lives."
Ambrosius Macrobius,Good laws have their origins in bad morals.
Agnes Macphail,"Do not rely completely on any other human being, however dear.  We meet all life's greatest tests alone. "
Harold Macmillan,"I have never found, in a long experience of politics, that criticism is ever inhibited by ignorance."
Ian Macleod,History is too serious to be left to historians.
Hugh Macleod,"Good ideas alter the power balance in relationships, that is why good ideas are always initially resisted. Good ideas come with a heavy burden. Which is why so few people have them. So few people can handle it."
Hugh Macleod,"There's no correlation between creativity and equipment ownership. None. Zilch. Nada. Actually, as the artist gets more into his thing, and as he gets more successful, his number of tools tends to go down. He knows what works for him. Expending mental energy on stuff wastes time."
Hugh Macleod,All existing business models are wrong. Find a new one.
Hugh Macleod,Question how much freedom your path affords you. Be utterly ruthless about it.
Hugh Macleod, It's your freedom that will get you to where you want to go.
Hugh Macleod,"The pain of making the necessary sacrifices always hurts more than you think it's going to. I know. It sucks. That being said, doing something seriously creative is one of the most amazing experiences one can have, in this or any other lifetime. If you can pull it off, it's worth it. Even if you don't end up pulling it off, you'll learn many incredible, magical, valuable things. It's NOT doing it when you know you full well you HAD the opportunity- that hurts FAR more than any failure."
Hugh Macleod,Never compare your inside with somebody else's outside.
Hugh Macleod,"The first rule of business, is never sell something you love. Otherwise, you may as well be selling your children."
